# BEGIN PLOT
DrawOnly=/STAR_2009_I793126/d43-x01-y03 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d43-x01-y03
LegendOnly=/STAR_2009_I793126/d43-x01-y03 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d43-x01-y03
# END PLOT

# BEGIN HISTO2D /STAR_2009_I793126/d43-x01-y03
IsRef=1
Path=/STAR_2009_I793126/d43-x01-y03
Title=Data
# xlow	 xhigh	 ylow	 yhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	2.250000e-01	2.250000e-01	6.654760e-01	2.287000e-02	2.287000e-02
2.500000e-01	3.000000e-01	2.750000e-01	2.750000e-01	5.634410e-01	8.974000e-03	8.974000e-03
3.000000e-01	3.500000e-01	3.250000e-01	3.250000e-01	4.745430e-01	1.081400e-02	1.081400e-02
3.500000e-01	4.000000e-01	3.750000e-01	3.750000e-01	4.059430e-01	3.677300e-02	3.677300e-02
4.000000e-01	4.500000e-01	4.250000e-01	4.250000e-01	3.434160e-01	4.823500e-02	4.823500e-02
4.500000e-01	5.000000e-01	4.750000e-01	4.750000e-01	2.764650e-01	3.063200e-02	3.063200e-02
5.000000e-01	5.500000e-01	5.250000e-01	5.250000e-01	2.438010e-01	1.734700e-02	1.734700e-02
5.500000e-01	6.000000e-01	5.750000e-01	5.750000e-01	2.148420e-01	1.953300e-02	1.953300e-02
6.000000e-01	6.500000e-01	6.250000e-01	6.250000e-01	1.722310e-01	8.950000e-03	8.950000e-03
6.500000e-01	7.000000e-01	6.750000e-01	6.750000e-01	1.572100e-01	1.287000e-02	1.287000e-02
7.000000e-01	7.500000e-01	7.250000e-01	7.250000e-01	1.306980e-01	7.663000e-03	7.663000e-03
# END HISTO2D

