# BEGIN PLOT
Legend=1
LogY=1
Title=[Insert title for histogram d01-x01-y01 here]
XLabel=[Insert $x$-axis label for histogram d01-x01-y01 here]
YLabel=[Insert $y$-axis label for histogram d01-x01-y01 here]
DrawOnly=/STAR_2009_I793126/d01-x01-y01 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d01-x01-y01
LegendOnly=/STAR_2009_I793126/d01-x01-y01 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d01-x01-y01
RatioPlot=1
RatioPlotReference=/STAR_2009_I793126/d01-x01-y01
# END PLOT

# BEGIN HISTO1D /STAR_2009_I793126/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2009_I793126/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.375000e+02	3.375000e+02	4.714000e-03	6.866200e-02	6.866200e-02
3.425000e+02	3.425000e+02	4.635000e-03	6.808400e-02	6.808400e-02
3.475000e+02	3.475000e+02	4.669000e-03	6.832900e-02	6.832900e-02
3.525000e+02	3.525000e+02	4.505000e-03	6.711800e-02	6.711800e-02
3.575000e+02	3.575000e+02	4.555000e-03	6.748900e-02	6.748900e-02
3.625000e+02	3.625000e+02	4.456000e-03	6.675300e-02	6.675300e-02
3.675000e+02	3.675000e+02	4.356000e-03	6.600100e-02	6.600100e-02
3.725000e+02	3.725000e+02	4.381000e-03	6.618700e-02	6.618700e-02
3.775000e+02	3.775000e+02	4.304000e-03	6.560500e-02	6.560500e-02
3.825000e+02	3.825000e+02	4.327000e-03	6.578000e-02	6.578000e-02
3.875000e+02	3.875000e+02	4.273000e-03	6.536600e-02	6.536600e-02
3.925000e+02	3.925000e+02	4.236000e-03	6.508400e-02	6.508400e-02
3.975000e+02	3.975000e+02	4.176000e-03	6.461800e-02	6.461800e-02
4.025000e+02	4.025000e+02	4.092000e-03	6.396500e-02	6.396500e-02
4.075000e+02	4.075000e+02	4.045000e-03	6.360000e-02	6.360000e-02
4.125000e+02	4.125000e+02	4.016000e-03	6.337100e-02	6.337100e-02
4.175000e+02	4.175000e+02	3.957000e-03	6.290100e-02	6.290100e-02
4.225000e+02	4.225000e+02	3.887000e-03	6.234500e-02	6.234500e-02
4.275000e+02	4.275000e+02	3.875000e-03	6.225200e-02	6.225200e-02
4.325000e+02	4.325000e+02	3.815000e-03	6.176600e-02	6.176600e-02
4.375000e+02	4.375000e+02	3.817000e-03	6.177900e-02	6.177900e-02
4.425000e+02	4.425000e+02	3.780000e-03	6.148100e-02	6.148100e-02
4.475000e+02	4.475000e+02	3.705000e-03	6.086600e-02	6.086600e-02
4.525000e+02	4.525000e+02	3.664000e-03	6.053200e-02	6.053200e-02
4.575000e+02	4.575000e+02	3.575000e-03	5.979300e-02	5.979300e-02
4.625000e+02	4.625000e+02	3.588000e-03	5.989800e-02	5.989800e-02
4.675000e+02	4.675000e+02	3.520000e-03	5.932800e-02	5.932800e-02
4.725000e+02	4.725000e+02	3.536000e-03	5.946600e-02	5.946600e-02
4.775000e+02	4.775000e+02	3.461000e-03	5.883100e-02	5.883100e-02
4.825000e+02	4.825000e+02	3.452000e-03	5.875100e-02	5.875100e-02
4.875000e+02	4.875000e+02	3.357000e-03	5.794300e-02	5.794300e-02
4.925000e+02	4.925000e+02	3.374000e-03	5.808900e-02	5.808900e-02
4.975000e+02	4.975000e+02	3.356000e-03	5.793300e-02	5.793300e-02
5.025000e+02	5.025000e+02	3.146000e-03	5.608500e-02	5.608500e-02
5.075000e+02	5.075000e+02	3.162000e-03	5.623100e-02	5.623100e-02
5.125000e+02	5.125000e+02	3.100000e-03	5.567700e-02	5.567700e-02
5.175000e+02	5.175000e+02	3.060000e-03	5.531600e-02	5.531600e-02
5.225000e+02	5.225000e+02	3.071000e-03	5.542000e-02	5.542000e-02
5.275000e+02	5.275000e+02	3.031000e-03	5.505300e-02	5.505300e-02
5.325000e+02	5.325000e+02	2.958000e-03	5.438600e-02	5.438600e-02
5.375000e+02	5.375000e+02	2.902000e-03	5.386900e-02	5.386900e-02
5.425000e+02	5.425000e+02	2.820000e-03	5.310500e-02	5.310500e-02
5.475000e+02	5.475000e+02	2.772000e-03	5.264800e-02	5.264800e-02
5.525000e+02	5.525000e+02	2.658000e-03	5.155300e-02	5.155300e-02
5.575000e+02	5.575000e+02	2.656000e-03	5.153700e-02	5.153700e-02
5.625000e+02	5.625000e+02	2.485000e-03	4.984800e-02	4.984800e-02
5.675000e+02	5.675000e+02	2.421000e-03	4.920000e-02	4.920000e-02
5.725000e+02	5.725000e+02	2.259000e-03	4.752600e-02	4.752600e-02
5.775000e+02	5.775000e+02	2.140000e-03	4.625600e-02	4.625600e-02
5.825000e+02	5.825000e+02	1.989000e-03	4.459500e-02	4.459500e-02
5.875000e+02	5.875000e+02	1.832000e-03	4.279900e-02	4.279900e-02
5.925000e+02	5.925000e+02	1.574000e-03	3.967200e-02	3.967200e-02
5.975000e+02	5.975000e+02	1.391000e-03	3.729000e-02	3.729000e-02
6.025000e+02	6.025000e+02	1.254000e-03	3.541100e-02	3.541100e-02
6.075000e+02	6.075000e+02	1.053000e-03	3.245100e-02	3.245100e-02
6.125000e+02	6.125000e+02	9.160000e-04	3.026400e-02	3.026400e-02
6.175000e+02	6.175000e+02	7.230000e-04	2.689400e-02	2.689400e-02
6.225000e+02	6.225000e+02	6.430000e-04	2.535000e-02	2.535000e-02
6.275000e+02	6.275000e+02	5.000000e-04	2.237100e-02	2.237100e-02
6.325000e+02	6.325000e+02	4.060000e-04	2.013800e-02	2.013800e-02
6.375000e+02	6.375000e+02	3.010000e-04	1.734100e-02	1.734100e-02
6.425000e+02	6.425000e+02	2.130000e-04	1.459200e-02	1.459200e-02
6.475000e+02	6.475000e+02	1.650000e-04	1.283100e-02	1.283100e-02
6.525000e+02	6.525000e+02	1.250000e-04	1.116100e-02	1.116100e-02
6.575000e+02	6.575000e+02	8.000000e-05	8.920000e-03	8.920000e-03
6.625000e+02	6.625000e+02	6.500000e-05	8.081000e-03	8.081000e-03
6.675000e+02	6.675000e+02	4.100000e-05	6.415000e-03	6.415000e-03
6.725000e+02	6.725000e+02	2.800000e-05	5.290000e-03	5.290000e-03
6.775000e+02	6.775000e+02	1.800000e-05	4.255000e-03	4.255000e-03
6.825000e+02	6.825000e+02	1.300000e-05	3.629000e-03	3.629000e-03
6.875000e+02	6.875000e+02	5.000000e-06	2.222000e-03	2.222000e-03
6.925000e+02	6.925000e+02	7.000000e-06	2.671000e-03	2.671000e-03
6.975000e+02	6.975000e+02	2.000000e-06	1.482000e-03	1.482000e-03
7.025000e+02	7.025000e+02	1.000000e-10	1.000000e-10	1.000000e-10
7.075000e+02	7.075000e+02	2.000000e-06	1.283000e-03	1.283000e-03
7.125000e+02	7.125000e+02	1.000000e-06	1.048000e-03	1.048000e-03
7.175000e+02	7.175000e+02	1.000000e-10	1.000000e-10	1.000000e-10
7.225000e+02	7.225000e+02	1.000000e-10	1.000000e-10	1.000000e-10
7.275000e+02	7.275000e+02	1.000000e-10	1.000000e-10	1.000000e-10
7.325000e+02	7.325000e+02	1.000000e-10	1.000000e-10	1.000000e-10
7.375000e+02	7.375000e+02	1.000000e-10	1.000000e-10	1.000000e-10
7.425000e+02	7.425000e+02	1.000000e-10	1.000000e-10	1.000000e-10
7.475000e+02	7.475000e+02	1.000000e-06	7.410000e-04	7.410000e-04
7.525000e+02	7.525000e+02	1.000000e-10	1.000000e-10	1.000000e-10
7.575000e+02	7.575000e+02	1.000000e-10	1.000000e-10	1.000000e-10
7.625000e+02	7.625000e+02	1.000000e-06	7.410000e-04	7.410000e-04
7.675000e+02	7.675000e+02	1.000000e-10	1.000000e-10	1.000000e-10
7.725000e+02	7.725000e+02	1.000000e-10	1.000000e-10	1.000000e-10
7.775000e+02	7.775000e+02	1.000000e-10	1.000000e-10	1.000000e-10
7.825000e+02	7.825000e+02	1.000000e-10	1.000000e-10	1.000000e-10
7.875000e+02	7.875000e+02	1.000000e-10	1.000000e-10	1.000000e-10
7.925000e+02	7.925000e+02	1.000000e-10	1.000000e-10	1.000000e-10
7.975000e+02	7.975000e+02	1.000000e-10	1.000000e-10	1.000000e-10
8.025000e+02	8.025000e+02	1.000000e-10	1.000000e-10	1.000000e-10
8.075000e+02	8.075000e+02	1.000000e-10	1.000000e-10	1.000000e-10
8.125000e+02	8.125000e+02	1.000000e-10	1.000000e-10	1.000000e-10
8.175000e+02	8.175000e+02	1.000000e-10	1.000000e-10	1.000000e-10
8.225000e+02	8.225000e+02	1.000000e-10	1.000000e-10	1.000000e-10
8.275000e+02	8.275000e+02	1.000000e-10	1.000000e-10	1.000000e-10
8.325000e+02	8.325000e+02	1.000000e-10	1.000000e-10	1.000000e-10
8.375000e+02	8.375000e+02	1.000000e-10	1.000000e-10	1.000000e-10
8.425000e+02	8.425000e+02	1.000000e-10	1.000000e-10	1.000000e-10
8.475000e+02	8.475000e+02	1.000000e-10	1.000000e-10	1.000000e-10
8.525000e+02	8.525000e+02	1.000000e-10	1.000000e-10	1.000000e-10
8.575000e+02	8.575000e+02	1.000000e-10	1.000000e-10	1.000000e-10
8.625000e+02	8.625000e+02	1.000000e-10	1.000000e-10	1.000000e-10
8.675000e+02	8.675000e+02	1.000000e-10	1.000000e-10	1.000000e-10
8.725000e+02	8.725000e+02	1.000000e-10	1.000000e-10	1.000000e-10
8.775000e+02	8.775000e+02	1.000000e-10	1.000000e-10	1.000000e-10
8.825000e+02	8.825000e+02	1.000000e-10	1.000000e-10	1.000000e-10
8.875000e+02	8.875000e+02	1.000000e-10	1.000000e-10	1.000000e-10
8.925000e+02	8.925000e+02	1.000000e-10	1.000000e-10	1.000000e-10
8.975000e+02	8.975000e+02	1.000000e-10	1.000000e-10	1.000000e-10
9.025000e+02	9.025000e+02	1.000000e-10	1.000000e-10	1.000000e-10
9.075000e+02	9.075000e+02	1.000000e-10	1.000000e-10	1.000000e-10
9.125000e+02	9.125000e+02	1.000000e-10	1.000000e-10	1.000000e-10
9.175000e+02	9.175000e+02	1.000000e-10	1.000000e-10	1.000000e-10
9.225000e+02	9.225000e+02	1.000000e-10	1.000000e-10	1.000000e-10
9.275000e+02	9.275000e+02	1.000000e-10	1.000000e-10	1.000000e-10
9.325000e+02	9.325000e+02	1.000000e-10	1.000000e-10	1.000000e-10
9.375000e+02	9.375000e+02	1.000000e-10	1.000000e-10	1.000000e-10
9.425000e+02	9.425000e+02	1.000000e-10	1.000000e-10	1.000000e-10
9.475000e+02	9.475000e+02	1.000000e-10	1.000000e-10	1.000000e-10
9.525000e+02	9.525000e+02	1.000000e-10	1.000000e-10	1.000000e-10
9.575000e+02	9.575000e+02	1.000000e-10	1.000000e-10	1.000000e-10
9.625000e+02	9.625000e+02	1.000000e-10	1.000000e-10	1.000000e-10
9.675000e+02	9.675000e+02	1.000000e-10	1.000000e-10	1.000000e-10
9.725000e+02	9.725000e+02	1.000000e-10	1.000000e-10	1.000000e-10
9.775000e+02	9.775000e+02	1.000000e-10	1.000000e-10	1.000000e-10
9.825000e+02	9.825000e+02	1.000000e-10	1.000000e-10	1.000000e-10
9.875000e+02	9.875000e+02	1.000000e-10	1.000000e-10	1.000000e-10
9.925000e+02	9.925000e+02	1.000000e-10	1.000000e-10	1.000000e-10
9.975000e+02	9.975000e+02	1.000000e-10	1.000000e-10	1.000000e-10
# END HISTO1D


# BEGIN HISTO1D //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d01-x01-y01
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d01-x01-y01
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
2.500000e+00	2.500000e+00	-nan	-nan	-nan
7.500000e+00	7.500000e+00	-nan	-nan	-nan
1.250000e+01	1.250000e+01	-nan	-nan	-nan
1.750000e+01	1.750000e+01	-nan	-nan	-nan
2.250000e+01	2.250000e+01	-nan	-nan	-nan
2.750000e+01	2.750000e+01	-nan	-nan	-nan
3.250000e+01	3.250000e+01	-nan	-nan	-nan
3.750000e+01	3.750000e+01	-nan	-nan	-nan
4.250000e+01	4.250000e+01	-nan	-nan	-nan
4.750000e+01	4.750000e+01	-nan	-nan	-nan
5.250000e+01	5.250000e+01	-nan	-nan	-nan
5.750000e+01	5.750000e+01	-nan	-nan	-nan
6.250000e+01	6.250000e+01	-nan	-nan	-nan
6.750000e+01	6.750000e+01	-nan	-nan	-nan
7.250000e+01	7.250000e+01	-nan	-nan	-nan
7.750000e+01	7.750000e+01	-nan	-nan	-nan
8.250000e+01	8.250000e+01	-nan	-nan	-nan
8.750000e+01	8.750000e+01	-nan	-nan	-nan
9.250000e+01	9.250000e+01	-nan	-nan	-nan
9.750000e+01	9.750000e+01	-nan	-nan	-nan
1.025000e+02	1.025000e+02	-nan	-nan	-nan
1.075000e+02	1.075000e+02	-nan	-nan	-nan
1.125000e+02	1.125000e+02	-nan	-nan	-nan
1.175000e+02	1.175000e+02	-nan	-nan	-nan
1.225000e+02	1.225000e+02	-nan	-nan	-nan
1.275000e+02	1.275000e+02	-nan	-nan	-nan
1.325000e+02	1.325000e+02	-nan	-nan	-nan
1.375000e+02	1.375000e+02	-nan	-nan	-nan
1.425000e+02	1.425000e+02	-nan	-nan	-nan
1.475000e+02	1.475000e+02	-nan	-nan	-nan
1.525000e+02	1.525000e+02	-nan	-nan	-nan
1.575000e+02	1.575000e+02	-nan	-nan	-nan
1.625000e+02	1.625000e+02	-nan	-nan	-nan
1.675000e+02	1.675000e+02	-nan	-nan	-nan
1.725000e+02	1.725000e+02	-nan	-nan	-nan
1.775000e+02	1.775000e+02	-nan	-nan	-nan
1.825000e+02	1.825000e+02	-nan	-nan	-nan
1.875000e+02	1.875000e+02	-nan	-nan	-nan
1.925000e+02	1.925000e+02	-nan	-nan	-nan
1.975000e+02	1.975000e+02	-nan	-nan	-nan
2.025000e+02	2.025000e+02	-nan	-nan	-nan
2.075000e+02	2.075000e+02	-nan	-nan	-nan
2.125000e+02	2.125000e+02	-nan	-nan	-nan
2.175000e+02	2.175000e+02	-nan	-nan	-nan
2.225000e+02	2.225000e+02	-nan	-nan	-nan
2.275000e+02	2.275000e+02	-nan	-nan	-nan
2.325000e+02	2.325000e+02	-nan	-nan	-nan
2.375000e+02	2.375000e+02	-nan	-nan	-nan
2.425000e+02	2.425000e+02	-nan	-nan	-nan
2.475000e+02	2.475000e+02	-nan	-nan	-nan
2.525000e+02	2.525000e+02	-nan	-nan	-nan
2.575000e+02	2.575000e+02	-nan	-nan	-nan
2.625000e+02	2.625000e+02	-nan	-nan	-nan
2.675000e+02	2.675000e+02	-nan	-nan	-nan
2.725000e+02	2.725000e+02	-nan	-nan	-nan
2.775000e+02	2.775000e+02	-nan	-nan	-nan
2.825000e+02	2.825000e+02	-nan	-nan	-nan
2.875000e+02	2.875000e+02	-nan	-nan	-nan
2.925000e+02	2.925000e+02	-nan	-nan	-nan
2.975000e+02	2.975000e+02	-nan	-nan	-nan
3.025000e+02	3.025000e+02	-nan	-nan	-nan
3.075000e+02	3.075000e+02	-nan	-nan	-nan
3.125000e+02	3.125000e+02	-nan	-nan	-nan
3.175000e+02	3.175000e+02	-nan	-nan	-nan
3.225000e+02	3.225000e+02	-nan	-nan	-nan
3.275000e+02	3.275000e+02	-nan	-nan	-nan
3.325000e+02	3.325000e+02	-nan	-nan	-nan
3.375000e+02	3.375000e+02	-nan	-nan	-nan
3.425000e+02	3.425000e+02	-nan	-nan	-nan
3.475000e+02	3.475000e+02	-nan	-nan	-nan
3.525000e+02	3.525000e+02	-nan	-nan	-nan
3.575000e+02	3.575000e+02	-nan	-nan	-nan
3.625000e+02	3.625000e+02	-nan	-nan	-nan
3.675000e+02	3.675000e+02	-nan	-nan	-nan
3.725000e+02	3.725000e+02	-nan	-nan	-nan
3.775000e+02	3.775000e+02	-nan	-nan	-nan
3.825000e+02	3.825000e+02	-nan	-nan	-nan
3.875000e+02	3.875000e+02	-nan	-nan	-nan
3.925000e+02	3.925000e+02	-nan	-nan	-nan
3.975000e+02	3.975000e+02	-nan	-nan	-nan
4.025000e+02	4.025000e+02	-nan	-nan	-nan
4.075000e+02	4.075000e+02	-nan	-nan	-nan
4.125000e+02	4.125000e+02	-nan	-nan	-nan
4.175000e+02	4.175000e+02	-nan	-nan	-nan
4.225000e+02	4.225000e+02	-nan	-nan	-nan
4.275000e+02	4.275000e+02	-nan	-nan	-nan
4.325000e+02	4.325000e+02	-nan	-nan	-nan
