# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=/STAR_2009_I793126/d29-x01-y04 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d29-x01-y04
LegendOnly=/STAR_2009_I793126/d29-x01-y04 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d29-x01-y04
RatioPlot=1
RatioPlotReference=/STAR_2009_I793126/d29-x01-y04
# END PLOT

# BEGIN HISTO1D /STAR_2009_I793126/d29-x01-y04
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2009_I793126/d29-x01-y04
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.560000e+00	5.560000e+00	1.292200e-02	2.320000e-04	2.320000e-04
5.640000e+00	5.640000e+00	1.373100e-02	3.360000e-04	3.360000e-04
5.720000e+00	5.720000e+00	1.307400e-02	2.540000e-04	2.540000e-04
5.800000e+00	5.800000e+00	1.329600e-02	2.840000e-04	2.840000e-04
5.880000e+00	5.880000e+00	1.315200e-02	2.640000e-04	2.640000e-04
5.960000e+00	5.960000e+00	1.322700e-02	2.740000e-04	2.740000e-04
6.040000e+00	6.040000e+00	1.300800e-02	2.430000e-04	2.430000e-04
6.120000e+00	6.120000e+00	1.279000e-02	2.070000e-04	2.070000e-04
6.200000e+00	6.200000e+00	1.279100e-02	2.070000e-04	2.070000e-04
6.280000e+00	6.280000e+00	1.286500e-02	2.200000e-04	2.200000e-04
6.360000e+00	6.360000e+00	1.345200e-02	3.020000e-04	3.020000e-04
6.440000e+00	6.440000e+00	1.279400e-02	2.070000e-04	2.070000e-04
6.520000e+00	6.520000e+00	1.294100e-02	2.320000e-04	2.320000e-04
6.600000e+00	6.600000e+00	1.301500e-02	2.430000e-04	2.430000e-04
6.680000e+00	6.680000e+00	1.272200e-02	1.940000e-04	1.940000e-04
6.760000e+00	6.760000e+00	1.279600e-02	2.070000e-04	2.070000e-04
6.840000e+00	6.840000e+00	1.272300e-02	1.940000e-04	1.940000e-04
6.920000e+00	6.920000e+00	1.301700e-02	2.430000e-04	2.430000e-04
7.000000e+00	7.000000e+00	1.265100e-02	1.790000e-04	1.790000e-04
7.080000e+00	7.080000e+00	1.287100e-02	2.200000e-04	2.200000e-04
7.160000e+00	7.160000e+00	1.250500e-02	1.470000e-04	1.470000e-04
7.240000e+00	7.240000e+00	1.250500e-02	1.470000e-04	1.470000e-04
7.320000e+00	7.320000e+00	1.265100e-02	1.790000e-04	1.790000e-04
7.400000e+00	7.400000e+00	1.243200e-02	1.270000e-04	1.270000e-04
7.480000e+00	7.480000e+00	1.272500e-02	1.940000e-04	1.940000e-04
7.560000e+00	7.560000e+00	1.309100e-02	2.540000e-04	2.540000e-04
7.640000e+00	7.640000e+00	1.243200e-02	1.270000e-04	1.270000e-04
7.720000e+00	7.720000e+00	1.279900e-02	2.070000e-04	2.070000e-04
7.800000e+00	7.800000e+00	1.250600e-02	1.470000e-04	1.470000e-04
7.880000e+00	7.880000e+00	1.243200e-02	1.270000e-04	1.270000e-04
7.960000e+00	7.960000e+00	1.250600e-02	1.470000e-04	1.470000e-04
8.040000e+00	8.040000e+00	1.265200e-02	1.790000e-04	1.790000e-04
8.120000e+00	8.120000e+00	1.257900e-02	1.640000e-04	1.640000e-04
8.200000e+00	8.200000e+00	1.221300e-02	1.000000e-10	1.000000e-10
8.280000e+00	8.280000e+00	1.243300e-02	1.270000e-04	1.270000e-04
8.360000e+00	8.360000e+00	1.265200e-02	1.790000e-04	1.790000e-04
8.440000e+00	8.440000e+00	1.272600e-02	1.940000e-04	1.940000e-04
8.520000e+00	8.520000e+00	1.235900e-02	1.040000e-04	1.040000e-04
8.600000e+00	8.600000e+00	1.243300e-02	1.270000e-04	1.270000e-04
8.680000e+00	8.680000e+00	1.250600e-02	1.470000e-04	1.470000e-04
8.760000e+00	8.760000e+00	1.257900e-02	1.640000e-04	1.640000e-04
8.840000e+00	8.840000e+00	1.235900e-02	1.040000e-04	1.040000e-04
8.920000e+00	8.920000e+00	1.287200e-02	2.200000e-04	2.200000e-04
9.000000e+00	9.000000e+00	1.272600e-02	1.940000e-04	1.940000e-04
9.080000e+00	9.080000e+00	1.257900e-02	1.640000e-04	1.640000e-04
9.160000e+00	9.160000e+00	1.257900e-02	1.640000e-04	1.640000e-04
9.240000e+00	9.240000e+00	1.257900e-02	1.640000e-04	1.640000e-04
9.320000e+00	9.320000e+00	1.221300e-02	1.000000e-10	1.000000e-10
9.400000e+00	9.400000e+00	1.250600e-02	1.470000e-04	1.470000e-04
9.480000e+00	9.480000e+00	1.257900e-02	1.640000e-04	1.640000e-04
9.560000e+00	9.560000e+00	1.257900e-02	1.640000e-04	1.640000e-04
9.640000e+00	9.640000e+00	1.265300e-02	1.790000e-04	1.790000e-04
9.720000e+00	9.720000e+00	1.228600e-02	7.300000e-05	7.300000e-05
9.800000e+00	9.800000e+00	1.243300e-02	1.270000e-04	1.270000e-04
9.880000e+00	9.880000e+00	1.257900e-02	1.640000e-04	1.640000e-04
9.960000e+00	9.960000e+00	1.236000e-02	1.040000e-04	1.040000e-04
1.004000e+01	1.004000e+01	1.243300e-02	1.270000e-04	1.270000e-04
1.012000e+01	1.012000e+01	1.250600e-02	1.470000e-04	1.470000e-04
1.020000e+01	1.020000e+01	1.250600e-02	1.470000e-04	1.470000e-04
1.028000e+01	1.028000e+01	1.265300e-02	1.790000e-04	1.790000e-04
1.036000e+01	1.036000e+01	1.250600e-02	1.470000e-04	1.470000e-04
1.044000e+01	1.044000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.052000e+01	1.052000e+01	1.257900e-02	1.640000e-04	1.640000e-04
1.060000e+01	1.060000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.068000e+01	1.068000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.076000e+01	1.076000e+01	1.257900e-02	1.640000e-04	1.640000e-04
1.084000e+01	1.084000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.092000e+01	1.092000e+01	1.257900e-02	1.640000e-04	1.640000e-04
1.100000e+01	1.100000e+01	1.236000e-02	1.040000e-04	1.040000e-04
1.108000e+01	1.108000e+01	1.243300e-02	1.270000e-04	1.270000e-04
1.116000e+01	1.116000e+01	1.236000e-02	1.040000e-04	1.040000e-04
1.124000e+01	1.124000e+01	1.265300e-02	1.790000e-04	1.790000e-04
1.132000e+01	1.132000e+01	1.236000e-02	1.040000e-04	1.040000e-04
1.140000e+01	1.140000e+01	1.236000e-02	1.040000e-04	1.040000e-04
1.148000e+01	1.148000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.156000e+01	1.156000e+01	1.243300e-02	1.270000e-04	1.270000e-04
1.164000e+01	1.164000e+01	1.250600e-02	1.470000e-04	1.470000e-04
1.172000e+01	1.172000e+01	1.257900e-02	1.640000e-04	1.640000e-04
1.180000e+01	1.180000e+01	1.250600e-02	1.470000e-04	1.470000e-04
1.188000e+01	1.188000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.196000e+01	1.196000e+01	1.257900e-02	1.640000e-04	1.640000e-04
1.204000e+01	1.204000e+01	1.236000e-02	1.040000e-04	1.040000e-04
