# BEGIN PLOT
DrawOnly=/STAR_2009_I793126/d43-x01-y08 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d43-x01-y08
LegendOnly=/STAR_2009_I793126/d43-x01-y08 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d43-x01-y08
# END PLOT

# BEGIN HISTO2D /STAR_2009_I793126/d43-x01-y08
IsRef=1
Path=/STAR_2009_I793126/d43-x01-y08
Title=Data
# xlow	 xhigh	 ylow	 yhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	2.250000e-01	2.250000e-01	8.928970e-01	2.975300e-02	2.975300e-02
2.500000e-01	3.000000e-01	2.750000e-01	2.750000e-01	7.781150e-01	1.140500e-02	1.140500e-02
3.000000e-01	3.500000e-01	3.250000e-01	3.250000e-01	6.675930e-01	1.477500e-02	1.477500e-02
3.500000e-01	4.000000e-01	3.750000e-01	3.750000e-01	5.936620e-01	5.368700e-02	5.368700e-02
4.000000e-01	4.500000e-01	4.250000e-01	4.250000e-01	5.042880e-01	7.076700e-02	7.076700e-02
4.500000e-01	5.000000e-01	4.750000e-01	4.750000e-01	4.296520e-01	4.748700e-02	4.748700e-02
5.000000e-01	5.500000e-01	5.250000e-01	5.250000e-01	3.720850e-01	2.634100e-02	2.634100e-02
5.500000e-01	6.000000e-01	5.750000e-01	5.750000e-01	3.257750e-01	2.953200e-02	2.953200e-02
6.000000e-01	6.500000e-01	6.250000e-01	6.250000e-01	2.697760e-01	1.383500e-02	1.383500e-02
6.500000e-01	7.000000e-01	6.750000e-01	6.750000e-01	2.453940e-01	1.993600e-02	1.993600e-02
7.000000e-01	7.500000e-01	7.250000e-01	7.250000e-01	2.023910e-01	1.132000e-02	1.132000e-02
# END HISTO2D

