# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=/STAR_2009_I793126/d04-x01-y01 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d04-x01-y01
LegendOnly=/STAR_2009_I793126/d04-x01-y01 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d04-x01-y01
RatioPlot=1
RatioPlotReference=/STAR_2009_I793126/d04-x01-y01
# END PLOT

# BEGIN HISTO1D /STAR_2009_I793126/d04-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2009_I793126/d04-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
6.900000e+01	6.900000e+01	1.000000e-10	1.000000e-10	1.000000e-10
7.000000e+01	7.000000e+01	1.000000e-10	1.000000e-10	1.000000e-10
7.100000e+01	7.100000e+01	1.000000e-10	1.000000e-10	1.000000e-10
7.200000e+01	7.200000e+01	1.000000e-10	1.000000e-10	1.000000e-10
7.300000e+01	7.300000e+01	1.000000e-10	1.000000e-10	1.000000e-10
7.400000e+01	7.400000e+01	1.000000e-10	1.000000e-10	1.000000e-10
7.500000e+01	7.500000e+01	1.000000e-10	1.000000e-10	1.000000e-10
7.600000e+01	7.600000e+01	1.000000e-10	1.000000e-10	1.000000e-10
7.700000e+01	7.700000e+01	1.000000e-10	1.000000e-10	1.000000e-10
7.800000e+01	7.800000e+01	1.000000e-10	1.000000e-10	1.000000e-10
7.900000e+01	7.900000e+01	1.000000e-10	1.000000e-10	1.000000e-10
8.000000e+01	8.000000e+01	1.000000e-10	1.000000e-10	1.000000e-10
8.100000e+01	8.100000e+01	1.000000e-10	1.000000e-10	1.000000e-10
8.200000e+01	8.200000e+01	1.000000e-10	1.000000e-10	1.000000e-10
8.300000e+01	8.300000e+01	1.000000e-10	1.000000e-10	1.000000e-10
8.400000e+01	8.400000e+01	1.000000e-10	1.000000e-10	1.000000e-10
8.500000e+01	8.500000e+01	1.000000e-10	1.000000e-10	1.000000e-10
8.600000e+01	8.600000e+01	1.000000e-10	1.000000e-10	1.000000e-10
8.700000e+01	8.700000e+01	1.000000e-10	1.000000e-10	1.000000e-10
8.800000e+01	8.800000e+01	1.000000e-10	1.000000e-10	1.000000e-10
8.900000e+01	8.900000e+01	1.000000e-10	1.000000e-10	1.000000e-10
9.000000e+01	9.000000e+01	1.000000e-10	1.000000e-10	1.000000e-10
9.100000e+01	9.100000e+01	1.000000e-10	1.000000e-10	1.000000e-10
9.200000e+01	9.200000e+01	1.000000e-10	1.000000e-10	1.000000e-10
9.300000e+01	9.300000e+01	1.000000e-10	1.000000e-10	1.000000e-10
9.400000e+01	9.400000e+01	1.000000e-10	1.000000e-10	1.000000e-10
9.500000e+01	9.500000e+01	1.000000e-10	1.000000e-10	1.000000e-10
9.600000e+01	9.600000e+01	1.000000e-10	1.000000e-10	1.000000e-10
9.700000e+01	9.700000e+01	1.000000e-10	1.000000e-10	1.000000e-10
9.800000e+01	9.800000e+01	1.000000e-10	1.000000e-10	1.000000e-10
9.900000e+01	9.900000e+01	1.000000e-10	1.000000e-10	1.000000e-10
# END HISTO1D


# BEGIN HISTO1D //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d04-x01-y01
LineColor=red
LineStyle=solid
